Moderator,Group,k,g,SE,CI_lower,CI_upper,z,p,sig,tau2,I2,Q,Q_p,Comparison
Industry,Business,8,0.11517196916720165,0.09686720651434794,-0.07468775560092031,0.3050316939353236,1.188967590906448,0.23445242043973558,,0.05273303439799862,73.99738908897376,26.9203735884526,0.0003444581968370386,Strong Synergy
Industry,Communication,53,-0.01690923798592818,0.05346474160917342,-0.1217001315399081,0.08788165556805173,-0.31626895552090184,0.7517983725991773,,0.1134817844434008,83.88168789927957,322.6144255990413,0.0,Strong Synergy
Industry,Healthcare,52,0.01930997827903738,0.09021252875665074,-0.15750657808399807,0.19612653464207283,0.21404985033870685,0.8305081829873924,,0.2580825817377804,80.50991358216349,261.67149240203946,0.0,Strong Synergy
Industry,Public sector,29,-0.4388838406955761,0.12360607762780848,-0.6811517528460808,-0.1966159285450715,-3.5506655426531997,0.000384258393136383,***,0.42657980390831296,97.54548465315146,1140.7547333509378,0.0,Strong Synergy
Task_Type,Create,23,0.04565409660075861,0.09798519583884285,-0.14639688724337338,0.2377050804448906,0.4659285130770807,0.6412666709847452,,0.1277650698623764,65.32509791141158,63.446466103332554,6.8096128813532886e-06,Strong Synergy
Task_Type,Decide,119,-0.11623592504205663,0.053454558171494436,-0.22100685905818573,-0.011464991025927532,-2.1744810736091993,0.029669025266386706,*,0.2756962653980186,93.58485664137889,1839.3977095059538,0.0,Strong Synergy
AI_Type_Cleaned,Deep,86,-0.027481032482443046,0.05012297447090586,-0.1257220624454185,0.07075999748053242,-0.5482721800238443,0.5835050267481656,,0.14372888245897014,84.42078148702602,545.598612210325,0.0,Strong Synergy
AI_Type_Cleaned,Rule-Based,9,0.2559580917037539,0.08905137882954466,0.08141738919784636,0.4304987942096614,2.8742743241931077,0.004049570594746976,**,0.03463675836106797,51.326801256969695,16.43615009203715,0.03654627012574596,Strong Synergy
AI_Type_Cleaned,Shallow,36,-0.3467275040217588,0.11603939425263204,-0.5741647167569176,-0.11929029128659999,-2.9880154602228477,0.0028079534996749977,**,0.43683565296085997,96.95383343100568,1148.9851000352585,0.0,Strong Synergy
AI_Type_Cleaned,Simulated-AI,5,-0.31972740262837995,0.07854333721201587,-0.47367234356393106,-0.16578246169282884,-4.0707132390532905,4.6869415950556714e-05,***,0.011942321705898274,39.856996488289816,6.650815167920866,0.1555323999980358,Strong Synergy
AI_Type_Cleaned,Wizard of Oz,6,0.2880946507170107,0.19276694330361194,-0.08972855815806868,0.66591785959209,1.4945231053607342,0.13503894743090705,,0.07036301289328238,33.830576437846226,7.556360220220805,0.18243998088256763,Strong Synergy
